Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ERR3141386_1	2.0529604284439156	57.17023283022105
ERR3141386_2	1.7594642433900323	53.22114584541524
ERR3141387_1	1.9579465681871113	51.364629426312206
ERR3141387_2	2.531856140000665	51.23210344789343
ERR3141388_1	3.2559930957254837	65.00217541707381
ERR3141388_2	3.901723453373561	66.52734487374265
ERR3141389_1	9.846954282955785	59.20419802971521
ERR3141389_2	7.79263735674313	67.81793638590402
ERR3141390_1	1.5371050466642262	47.151927384087294
ERR3141390_2	1.6583415010490103	48.11709552094285
ERR3141391_1	4.74334222510427	62.10926561832193
ERR3141391_2	4.422796339144916	66.19530455543605
ERR3141392_1	6.747848660139402	55.47135294237887
ERR3141392_2	5.91592911309609	57.58794432066717
ERR3141393_1	2.6417960479138465	56.11461643887927
ERR3141393_2	1.9331870854955808	58.686824540783235
ERR3141394_1	3.1392120106102555	50.44505965164925
ERR3141394_2	2.3475810356171865	48.791035079225196
ERR3141395_1	2.143237308072473	51.738696793641886
ERR3141395_2	1.827923805945784	52.92168149311005
ERR3141396_1	1.3370020980366408	52.239585401085364
ERR3141396_2	1.423122379362893	52.16537537143188
ERR3141397_1	4.431450992460379	64.47264076130053
ERR3141397_2	3.79821747724502	63.24878383656659
ERR3141398_1	1.6747639108447894	52.35716709566888
ERR3141398_2	2.204878210274534	51.74470092614817
ERR3141399_1	2.458883235536841	58.45890922796004
ERR3141399_2	3.509626943745898	50.720315028169274
ERR3141400_1	3.2696884089232783	49.1274336529496
ERR3141400_2	3.3371835729295682	48.08717313553309
ERR3141401_1	5.688382740638507	70.1109908182577
ERR3141401_2	4.299138023652698	63.197824811365216
ERR3141402_1	2.115257048092869	48.95688225538965
ERR3141402_2	1.349917081260365	48.3963515754561
ERR3141403_1	5.295170221099276	53.32954466911903
ERR3141403_2	5.0770660379532	50.04953422469341
ERR3141404_1	4.020726310405409	59.03551493317323
ERR3141404_2	6.326861920964262	58.067026930860436
ERR3141405_1	2.638312800511773	53.8530854261678
ERR3141405_2	1.6154549894412458	55.4695722156875
ERR3141406_1	3.1515532252478633	51.76263077778048
ERR3141406_2	2.2317797053825275	53.50432100256924
ERR3141407_1	1.3261033954886663	53.79540997313366
ERR3141407_2	1.4472171501994995	50.88806506944058
ERR3141408_1	4.984090891749392	52.63816507321244
ERR3141408_2	4.36451315076646	54.923430263167944
ERR3141409_1	3.1653797092417504	56.2046603114015
ERR3141409_2	2.7637126693087435	56.720985033642684
ERR3141410_1	3.6534474509595447	54.9216548827814
ERR3141410_2	2.8719897932061027	56.10779597044286
ERR3141411_1	2.3973517005713063	53.2204958442344
ERR3141411_2	2.217149874526136	52.56598501432721
ERR3141412_1	2.7531348742644246	54.978332294051995
ERR3141412_2	4.455634913564979	53.03688488081452
ERR3141413_1	3.231228987672768	52.94345522212538
ERR3141413_2	2.2890466110488523	53.61377440197015
ERR3141414_1	1.8819645615267844	55.33068616467689
ERR3141414_2	1.3987126540406887	53.23129138963095
ERR3141415_1	3.0438656254913266	51.97316702478903
ERR3141415_2	2.6508044651747813	48.73539122687489
ERR3141416_1	1.2368372048320146	47.95672571528114
ERR3141416_2	1.6501174364611677	45.63082301634498
ERR3141417_1	6.880409935016567	55.062543343693
ERR3141417_2	6.5105437546554334	58.69249736727197
ERR3141418_1	5.480765783529918	64.9235471265192
ERR3141418_2	4.506058867816298	69.02627899472985
ERR3141419_1	6.21156284437914	52.28480130187658
ERR3141419_2	5.388410296516611	50.798070884335985
ERR3141420_1	1.8502863664222162	51.06991144831668
ERR3141420_2	1.9765623348902088	51.97656233489021
ERR3141421_1	6.657053136888442	69.90712191789922
ERR3141421_2	5.948371550276547	74.26546624038254
ERR3141422_1	3.010214386703985	55.206018986063384
ERR3141422_2	2.9676544421040485	57.70190726260207
ERR3141423_1	2.373913284490803	48.3069873151082
ERR3141423_2	1.463428154362106	50.00692911057935
ERR3141424_1	1.9705584183208675	48.378190244381045
ERR3141424_2	1.5215999925251458	50.75893128273171
ERR3141425_1	2.9718293860396434	51.951875201151054
ERR3141425_2	2.673652524564094	52.738494159519846
ERR3141426_1	3.801422351387614	63.107959758380616
ERR3141426_2	3.2748023186130752	65.41914818016451
ERR3141427_1	3.5037701904265672	55.64742083583205
ERR3141427_2	3.6276408537244764	55.99543841366901
ERR3141428_1	3.650079826453634	57.408626131890344
ERR3141428_2	4.135132170670176	58.850986557468936
ERR3141429_1	2.6962398504249894	56.193616541652496
ERR3141429_2	2.6953558373592763	56.95254175856722
ERR3141430_1	4.12810993516928	60.64073437875177
ERR3141430_2	4.246319794610369	61.83576217653906
ERR3141431_1	3.649161903435419	53.73246264858872
ERR3141431_2	2.827404070219046	57.55733287620596
ERR3141432_1	1.805183466041805	48.05862555315925
ERR3141432_2	1.538025268091013	45.67584307814003
ERR3141433_1	1.9386394787735406	50.79047672693817
ERR3141433_2	1.58752511312642	49.66766180363882
ERR3141434_1	1.8384470493002694	50.61099954856082
ERR3141434_2	1.654758013045035	46.143308582014036
ERR3141435_1	2.662185909165021	52.03989202702948
ERR3141435_2	3.0118299244551534	50.9040018840921
ERR3141436_1	2.85906096007973	62.62665411660487
ERR3141436_2	2.2873871878633523	57.990282930070336
ERR3141437_1	3.668433319743694	62.327982092445374
ERR3141437_2	2.0953684971654063	64.82796286182416
ERR3141438_1	1.8748987854251011	50.439676113360306
ERR3141438_2	1.3817813765182188	50.453643724696384
ERR3141439_1	4.457705698346402	55.45946710181387
ERR3141439_2	3.6765615519201655	57.061224970692344
ERR3141440_1	5.520916724614477	55.40667675640297
ERR3141440_2	4.763017805073306	56.63146945906944
ERR3141441_1	1.3236391274096966	50.72469032656471
ERR3141441_2	1.7145555595917035	46.097122754465865
ERR3141442_1	1.1610462028677642	52.33669676048856
ERR3141442_2	1.690785979819437	50.74283058948489
ERR3141443_1	2.1782502216779966	51.244563611028994
ERR3141443_2	1.681585947726217	53.41014651859986
ERR3141444_1	1.8498940970623445	54.309604935997775
ERR3141444_2	2.143843816189336	52.29210792890691
ERR3141445_1	1.379917074640969	49.338144850563296
ERR3141445_2	1.6255162470165607	50.75431122261959
ERR3141446_1	1.4886164623467601	51.307793345008704
ERR3141446_2	2.0369964973730297	52.60376532399298
ERR3141447_1	1.7777367646819344	49.97095910934029
ERR3141447_2	1.7163980610455807	52.0206488874896
ERR3141448_1	1.2502170515714535	43.64306746517014
ERR3141448_2	1.0400002955595866	43.84663413048218
ERR3141449_1	1.8719444942696746	47.51456910929025
ERR3141449_2	1.6494483392932788	48.34120147923687
ERR3141450_1	2.4960024488776646	51.185973730953734
ERR3141450_2	2.2205037115802106	50.26160296765305
ERR3141451_1	2.8516906154650705	63.57150525903839
ERR3141451_2	1.464980726672	67.50236371003773
ERR3141452_1	1.6472168498871387	56.119496442476155
ERR3141452_2	2.3188288702273887	57.39000459524017
ERR3141453_1	3.754447653731843	57.90321905479513
ERR3141453_2	3.525890577253129	58.96060948553727
ERR3141454_1	2.059607463048219	51.49018657620546
ERR3141454_2	1.6199937692547337	46.58751312494953
ERR3141455_1	1.6111874192311697	48.428038621782235
ERR3141455_2	1.8277557880625892	46.75566365637479
ERR3141456_1	3.7043297910036315	50.649029787427686
ERR3141456_2	3.8613452617412136	52.69835800177499
ERR3141457_1	1.4132719013814967	49.512540350826484
ERR3141457_2	1.5790081821004818	49.00016609736201
ERR3141458_1	1.3246846324503445	51.69974351850735
ERR3141458_2	2.0925185516244498	51.45050954054781
ERR3141459_1	2.1393381774008504	55.357343711335545
ERR3141459_2	3.2738697800673373	53.35447926274193
ERR3141460_1	2.2686439389245905	57.545156039673095
ERR3141460_2	1.9661956282983482	58.85689182263121
ERR3141461_1	4.637781940129432	65.75107392411309
ERR3141461_2	4.821722989266367	67.6633878800794
ERR3141462_1	2.33302274516602	52.79926614516752
ERR3141462_2	2.5778817886989245	54.388321884909
ERR3141463_1	5.069828073437984	57.45820343123854
ERR3141463_2	4.38385385330635	58.374810844318
ERR3141464_1	9.555651165848003	65.84501571594181
ERR3141464_2	8.581023747206387	71.02350818065565
ERR3141465_1	9.59309202744263	65.50122645150847
ERR3141465_2	8.82609291148382	70.37714940296095
ERR3141466_1	9.487076835948562	66.28064796461382
ERR3141466_2	8.389559919150889	70.08875826311113
ERR3141467_1	8.224404277941085	67.3713177809744
ERR3141467_2	7.533063596607283	70.46238519751559
ERR3141468_1	9.058989419817532	67.07723626583991
ERR3141468_2	7.922530279118847	71.79396191881365
