Sample	Unique Reads	Duplicate Reads
ERR3141386_1	20676.0	177623.0
ERR3141386_2	25155.0	173144.0
ERR3141387_1	20643.0	159699.0
ERR3141387_2	18078.0	162264.0
ERR3141388_1	26879.0	393730.0
ERR3141388_2	28062.0	392547.0
ERR3141389_1	14940.0	208784.0
ERR3141389_2	13249.0	210475.0
ERR3141390_1	32785.0	221264.0
ERR3141390_2	31083.0	222966.0
ERR3141391_1	13158.0	122548.0
ERR3141391_2	10742.0	124964.0
ERR3141392_1	19042.0	176650.0
ERR3141392_2	18409.0	177283.0
ERR3141393_1	22631.0	213042.0
ERR3141393_2	20874.0	214799.0
ERR3141394_1	43287.0	440019.0
ERR3141394_2	46254.0	437052.0
ERR3141395_1	25091.0	198496.0
ERR3141395_2	21343.0	202244.0
ERR3141396_1	34284.0	293165.0
ERR3141396_2	29573.0	297876.0
ERR3141397_1	7536.0	76951.0
ERR3141397_2	9957.0	74530.0
ERR3141398_1	28256.0	213390.0
ERR3141398_2	23630.0	218016.0
ERR3141399_1	18340.0	135551.0
ERR3141399_2	23957.0	129934.0
ERR3141400_1	21307.0	122407.0
ERR3141400_2	23393.0	120321.0
ERR3141401_1	8607.0	112394.0
ERR3141401_2	14848.0	106153.0
ERR3141402_1	19061.0	101539.0
ERR3141402_2	19564.0	101036.0
ERR3141403_1	14828.0	115385.0
ERR3141403_2	18482.0	111731.0
ERR3141404_1	12159.0	77775.0
ERR3141404_2	12400.0	77534.0
ERR3141405_1	30844.0	259910.0
ERR3141405_2	33473.0	257281.0
ERR3141406_1	24344.0	223978.0
ERR3141406_2	22072.0	226250.0
ERR3141407_1	29765.0	295549.0
ERR3141407_2	33568.0	291746.0
ERR3141408_1	15361.0	115696.0
ERR3141408_2	14510.0	116547.0
ERR3141409_1	35852.0	374936.0
ERR3141409_2	35858.0	374930.0
ERR3141410_1	27201.0	273775.0
ERR3141410_2	28127.0	272849.0
ERR3141411_1	25145.0	199603.0
ERR3141411_2	21823.0	202925.0
ERR3141412_1	20913.0	169924.0
ERR3141412_2	22472.0	168365.0
ERR3141413_1	19175.0	125383.0
ERR3141413_2	18351.0	126207.0
ERR3141414_1	16190.0	134663.0
ERR3141414_2	18204.0	132649.0
ERR3141415_1	13673.0	81732.0
ERR3141415_2	13321.0	82084.0
ERR3141416_1	21178.0	145295.0
ERR3141416_2	23358.0	143115.0
ERR3141417_1	15951.0	139781.0
ERR3141417_2	14606.0	141126.0
ERR3141418_1	15189.0	207955.0
ERR3141418_2	15065.0	208079.0
ERR3141419_1	21362.0	231811.0
ERR3141419_2	28857.0	224316.0
ERR3141420_1	24657.0	164611.0
ERR3141420_2	22210.0	167058.0
ERR3141421_1	7311.0	98096.0
ERR3141421_2	7151.0	98256.0
ERR3141422_1	16844.0	121784.0
ERR3141422_2	13640.0	124988.0
ERR3141423_1	29051.0	187427.0
ERR3141423_2	25940.0	190538.0
ERR3141424_1	27477.0	186574.0
ERR3141424_2	23235.0	190816.0
ERR3141425_1	23236.0	188048.0
ERR3141425_2	20250.0	191034.0
ERR3141426_1	16779.0	171782.0
ERR3141426_2	15302.0	173259.0
ERR3141427_1	11216.0	90503.0
ERR3141427_2	9710.0	92009.0
ERR3141428_1	16049.0	148057.0
ERR3141428_2	13521.0	150585.0
ERR3141429_1	23395.0	202846.0
ERR3141429_2	21629.0	204612.0
ERR3141430_1	11776.0	96506.0
ERR3141430_2	10990.0	97292.0
ERR3141431_1	21706.0	164967.0
ERR3141431_2	19692.0	166981.0
ERR3141432_1	18772.0	115231.0
ERR3141432_2	22053.0	111950.0
ERR3141433_1	16054.0	90464.0
ERR3141433_2	16998.0	89520.0
ERR3141434_1	10876.0	53363.0
ERR3141434_2	13278.0	50961.0
ERR3141435_1	16134.0	94264.0
ERR3141435_2	16348.0	94050.0
ERR3141436_1	14860.0	129628.0
ERR3141436_2	19868.0	124620.0
ERR3141437_1	14781.0	115220.0
ERR3141437_2	16517.0	113484.0
ERR3141438_1	44540.0	449460.0
ERR3141438_2	42448.0	451552.0
ERR3141439_1	16586.0	153165.0
ERR3141439_2	15331.0	154420.0
ERR3141440_1	17746.0	153385.0
ERR3141440_2	16801.0	154330.0
ERR3141441_1	35479.0	322398.0
ERR3141441_2	39548.0	318329.0
ERR3141442_1	18538.0	132102.0
ERR3141442_2	18406.0	132234.0
ERR3141443_1	21679.0	167785.0
ERR3141443_2	18589.0	170875.0
ERR3141444_1	26920.0	244555.0
ERR3141444_2	27236.0	244239.0
ERR3141445_1	29436.0	216086.0
ERR3141445_2	25835.0	219687.0
ERR3141446_1	45529.0	411271.0
ERR3141446_2	42240.0	414560.0
ERR3141447_1	22253.0	161970.0
ERR3141447_2	19088.0	165135.0
ERR3141448_1	34282.0	236391.0
ERR3141448_2	36921.0	233752.0
ERR3141449_1	30838.0	231189.0
ERR3141449_2	26271.0	235756.0
ERR3141450_1	29424.0	218853.0
ERR3141450_2	27448.0	220829.0
ERR3141451_1	23636.0	265105.0
ERR3141451_2	22580.0	266161.0
ERR3141452_1	18745.0	179286.0
ERR3141452_2	16318.0	181713.0
ERR3141453_1	21158.0	217732.0
ERR3141453_2	19987.0	218903.0
ERR3141454_1	15360.0	71307.0
ERR3141454_2	19215.0	67452.0
ERR3141455_1	39831.0	354040.0
ERR3141455_2	44057.0	349814.0
ERR3141456_1	32118.0	275495.0
ERR3141456_2	26995.0	280618.0
ERR3141457_1	32148.0	244798.0
ERR3141457_2	29341.0	247605.0
ERR3141458_1	28658.0	219703.0
ERR3141458_2	25143.0	223218.0
