Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR3141386_1	ERR3141386_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198299.0	49.7 Mbp	0.0	251.0	53.0	10.426678904079195	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141386_2	ERR3141386_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	198299.0	49.7 Mbp	0.0	251.0	50.0	12.68538923544748	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141387_1	ERR3141387_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	180342.0	45.2 Mbp	0.0	251.0	54.0	11.446584822171207	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141387_2	ERR3141387_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	180342.0	45.2 Mbp	0.0	251.0	52.0	10.024287187676748	251.0	251	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141388_1	ERR3141388_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	420609.0	105.5 Mbp	0.0	251.0	53.0	6.3904956860171795	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141388_2	ERR3141388_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	420609.0	105.5 Mbp	0.0	251.0	50.0	6.671754527363893	251.0	251	pass	warn	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141389_1	ERR3141389_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	223724.0	56.1 Mbp	0.0	251.0	54.0	6.6778709481325205	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141389_2	ERR3141389_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	223724.0	56.1 Mbp	0.0	251.0	51.0	5.922028928501189	251.0	251	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141390_1	ERR3141390_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254049.0	63.7 Mbp	0.0	251.0	51.0	12.904990769497223	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ERR3141390_2	ERR3141390_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	254049.0	63.7 Mbp	0.0	251.0	50.0	12.235041271565722	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
