Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR3141386_1	89.5733210959208	53.0	251.0	251	36.36363636363637	198299.0
ERR3141386_2	87.31461076455253	50.0	251.0	251	36.36363636363637	198299.0
ERR3141387_1	88.5534151778288	54.0	251.0	251	36.36363636363637	180342.0
ERR3141387_2	89.97571281232325	52.0	251.0	251	45.45454545454545	180342.0
ERR3141388_1	93.60950431398282	53.0	251.0	251	36.36363636363637	420609.0
ERR3141388_2	93.32824547263611	50.0	251.0	251	36.36363636363637	420609.0
ERR3141389_1	93.32212905186748	54.0	251.0	251	36.36363636363637	223724.0
ERR3141389_2	94.07797107149881	51.0	251.0	251	45.45454545454545	223724.0
ERR3141390_1	87.09500923050278	51.0	251.0	251	36.36363636363637	254049.0
ERR3141390_2	87.76495872843428	50.0	251.0	251	36.36363636363637	254049.0
ERR3141391_1	90.30403961505019	53.0	251.0	251	36.36363636363637	135706.0
ERR3141391_2	92.08435883453937	52.0	251.0	251	45.45454545454545	135706.0
ERR3141392_1	90.2694029393128	52.0	251.0	251	36.36363636363637	195692.0
ERR3141392_2	90.59287042904155	50.0	251.0	251	36.36363636363637	195692.0
ERR3141393_1	90.39771208411655	54.0	251.0	251	36.36363636363637	235673.0
ERR3141393_2	91.1432366032596	52.0	251.0	251	36.36363636363637	235673.0
ERR3141394_1	91.04356246353242	54.0	251.0	251	36.36363636363637	483306.0
ERR3141394_2	90.42966567764522	51.0	251.0	251	36.36363636363637	483306.0
ERR3141395_1	88.77797009665142	53.0	251.0	251	36.36363636363637	223587.0
ERR3141395_2	90.45427506965969	52.0	251.0	251	36.36363636363637	223587.0
ERR3141396_1	89.52997260642115	53.0	251.0	251	36.36363636363637	327449.0
ERR3141396_2	90.96866993027922	51.0	251.0	251	36.36363636363637	327449.0
ERR3141397_1	91.08028454081693	53.0	251.0	251	36.36363636363637	84487.0
ERR3141397_2	88.21475493271154	51.0	251.0	251	36.36363636363637	84487.0
ERR3141398_1	88.3068621040696	53.0	251.0	251	36.36363636363637	241646.0
ERR3141398_2	90.2212327123147	51.0	251.0	251	45.45454545454545	241646.0
ERR3141399_1	88.0831237694212	53.0	251.0	251	36.36363636363637	153891.0
ERR3141399_2	84.43248792976847	51.0	251.0	251	45.45454545454545	153891.0
ERR3141400_1	85.17402619090694	52.0	251.0	251	36.36363636363637	143714.0
ERR3141400_2	83.72253225155518	50.0	251.0	251	45.45454545454545	143714.0
ERR3141401_1	92.8868356459864	53.0	251.0	251	36.36363636363637	121001.0
ERR3141401_2	87.72902703283444	50.0	251.0	251	45.45454545454545	121001.0
ERR3141402_1	84.19485903814262	52.0	251.0	251	36.36363636363637	120600.0
ERR3141402_2	83.77777777777777	51.0	251.0	251	45.45454545454545	120600.0
ERR3141403_1	88.61250412785206	53.0	251.0	251	36.36363636363637	130213.0
ERR3141403_2	85.806332701036	51.0	251.0	251	45.45454545454545	130213.0
ERR3141404_1	86.48008539595703	52.0	251.0	251	36.36363636363637	89934.0
ERR3141404_2	86.21211110369826	50.0	251.0	251	45.45454545454545	89934.0
ERR3141405_1	89.39171946043734	52.0	251.0	251	36.36363636363637	290754.0
ERR3141405_2	88.48751865838476	50.0	251.0	251	36.36363636363637	290754.0
ERR3141406_1	90.1965995763565	54.0	251.0	251	36.36363636363637	248322.0
ERR3141406_2	91.11154066091606	52.0	251.0	251	36.36363636363637	248322.0
ERR3141407_1	90.85037840363464	53.0	251.0	251	36.36363636363637	325314.0
ERR3141407_2	89.68135401489023	51.0	251.0	251	36.36363636363637	325314.0
ERR3141408_1	88.27914571522315	53.0	251.0	251	36.36363636363637	131057.0
ERR3141408_2	88.92848150041586	51.0	251.0	251	45.45454545454545	131057.0
ERR3141409_1	91.2723838086799	54.0	251.0	251	36.36363636363637	410788.0
ERR3141409_2	91.27092320126197	52.0	251.0	251	45.45454545454545	410788.0
ERR3141410_1	90.96240231779278	53.0	251.0	251	36.36363636363637	300976.0
ERR3141410_2	90.65473659029291	51.0	251.0	251	36.36363636363637	300976.0
ERR3141411_1	88.81191378788688	53.0	251.0	251	36.36363636363637	224748.0
ERR3141411_2	90.29001370423764	51.0	251.0	251	45.45454545454545	224748.0
ERR3141412_1	89.0414332650377	53.0	251.0	251	36.36363636363637	190837.0
ERR3141412_2	88.22450573002091	51.0	251.0	251	36.36363636363637	190837.0
ERR3141413_1	86.73542799429987	53.0	251.0	251	36.36363636363637	144558.0
ERR3141413_2	87.30544141451874	52.0	251.0	251	45.45454545454545	144558.0
ERR3141414_1	89.26769769245557	54.0	251.0	251	36.36363636363637	150853.0
ERR3141414_2	87.93262314968877	52.0	251.0	251	36.36363636363637	150853.0
ERR3141415_1	85.66846601331167	53.0	251.0	251	36.36363636363637	95405.0
ERR3141415_2	86.03741942246214	51.0	251.0	251	36.36363636363637	95405.0
ERR3141416_1	87.27841752115958	53.0	251.0	251	36.36363636363637	166473.0
ERR3141416_2	85.96889585698582	51.0	251.0	251	36.36363636363637	166473.0
ERR3141417_1	89.75740374489507	52.0	251.0	251	36.36363636363637	155732.0
ERR3141417_2	90.62106696118974	50.0	251.0	251	45.45454545454545	155732.0
ERR3141418_1	93.19318466998888	53.0	251.0	251	36.36363636363637	223144.0
ERR3141418_2	93.24875416771233	50.0	251.0	251	36.36363636363637	223144.0
ERR3141419_1	91.56229139758189	52.0	251.0	251	36.36363636363637	253173.0
ERR3141419_2	88.60186512779799	51.0	251.0	251	45.45454545454545	253173.0
ERR3141420_1	86.9724411944967	53.0	251.0	251	36.36363636363637	189268.0
ERR3141420_2	88.26531690512924	51.0	251.0	251	45.45454545454545	189268.0
ERR3141421_1	93.06402800573017	53.0	251.0	251	36.36363636363637	105407.0
ERR3141421_2	93.21676928477235	48.0	251.0	251	36.36363636363637	105407.0
ERR3141422_1	87.85021784920795	53.0	251.0	251	36.36363636363637	138628.0
ERR3141422_2	90.16071789248926	51.0	251.0	251	36.36363636363637	138628.0
ERR3141423_1	86.58016057058916	53.0	251.0	251	36.36363636363637	216478.0
ERR3141423_2	88.01725810474967	51.0	251.0	251	36.36363636363637	216478.0
ERR3141424_1	87.16333957795105	53.0	251.0	251	36.36363636363637	214051.0
ERR3141424_2	89.14511027745723	51.0	251.0	251	45.45454545454545	214051.0
ERR3141425_1	89.00248007421291	53.0	251.0	251	36.36363636363637	211284.0
