Module	Section	Sample Name	Source
FastQC	all_sections	ERR3141386_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141386_1_fastqc.zip
FastQC	all_sections	ERR3141386_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141386_2_fastqc.zip
FastQC	all_sections	ERR3141387_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141387_1_fastqc.zip
FastQC	all_sections	ERR3141387_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141387_2_fastqc.zip
FastQC	all_sections	ERR3141388_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141388_1_fastqc.zip
FastQC	all_sections	ERR3141388_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141388_2_fastqc.zip
FastQC	all_sections	ERR3141389_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141389_1_fastqc.zip
FastQC	all_sections	ERR3141389_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141389_2_fastqc.zip
FastQC	all_sections	ERR3141390_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141390_1_fastqc.zip
FastQC	all_sections	ERR3141390_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141390_2_fastqc.zip
FastQC	all_sections	ERR3141391_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141391_1_fastqc.zip
FastQC	all_sections	ERR3141391_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141391_2_fastqc.zip
FastQC	all_sections	ERR3141392_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141392_1_fastqc.zip
FastQC	all_sections	ERR3141392_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141392_2_fastqc.zip
FastQC	all_sections	ERR3141393_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141393_1_fastqc.zip
FastQC	all_sections	ERR3141393_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141393_2_fastqc.zip
FastQC	all_sections	ERR3141394_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141394_1_fastqc.zip
FastQC	all_sections	ERR3141394_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141394_2_fastqc.zip
FastQC	all_sections	ERR3141395_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141395_1_fastqc.zip
FastQC	all_sections	ERR3141395_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141395_2_fastqc.zip
FastQC	all_sections	ERR3141396_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141396_1_fastqc.zip
FastQC	all_sections	ERR3141396_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141396_2_fastqc.zip
FastQC	all_sections	ERR3141397_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141397_1_fastqc.zip
FastQC	all_sections	ERR3141397_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141397_2_fastqc.zip
FastQC	all_sections	ERR3141398_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141398_1_fastqc.zip
FastQC	all_sections	ERR3141398_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141398_2_fastqc.zip
FastQC	all_sections	ERR3141399_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141399_1_fastqc.zip
FastQC	all_sections	ERR3141399_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141399_2_fastqc.zip
FastQC	all_sections	ERR3141400_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141400_1_fastqc.zip
FastQC	all_sections	ERR3141400_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141400_2_fastqc.zip
FastQC	all_sections	ERR3141401_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141401_1_fastqc.zip
FastQC	all_sections	ERR3141401_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141401_2_fastqc.zip
FastQC	all_sections	ERR3141402_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141402_1_fastqc.zip
FastQC	all_sections	ERR3141402_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141402_2_fastqc.zip
FastQC	all_sections	ERR3141403_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141403_1_fastqc.zip
