"","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Collection_Date","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","ENA.FIRST.PUBLIC..run.","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE..run.","ENA.LAST.UPDATE","environment_biome","environment_feature","environment_material","Experiment","external_id","geo_loc_name_country","geo_loc_name_country_continent","geographic_location_.country_and.or_sea.","geographic_location_.latitude.","geographic_location_.longitude.","INSDC_center_name","INSDC_first_public","INSDC_last_update","INSDC_status","Instrument","investigation_type","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","miscellaneous_environmental_package","Organism","Platform","project_name","ReleaseDate","create_date","version","Sample.Name","Sample_name","Scientific_Name","Sequencing_method","SRA.Study","Submitter_Id","names","denoisedF","denoisedR","merged","nochim","num_ASVs"
"ERR3141386","AMPLICON",502,99546098,"PRJEB31110","SAMEA5320046",62822225,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170352","SAMEA5320046","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320046","T1F1","food metagenome","Illumina MiSeq","ERP113625","T1F1","ERR3141386",112784,113612,99063,60993,794
"ERR3141387","AMPLICON",502,90531684,"PRJEB31110","SAMEA5320047",54410542,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170353","SAMEA5320047","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320047","T1F10","food metagenome","Illumina MiSeq","ERP113625","T1F10","ERR3141387",101592,102152,85110,47011,961
"ERR3141388","AMPLICON",502,211145718,"PRJEB31110","SAMEA5320048",129707696,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170354","SAMEA5320048","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320048","T1F11","food metagenome","Illumina MiSeq","ERP113625","T1F11","ERR3141388",269420,269937,249718,170431,841
"ERR3141389","AMPLICON",502,112309448,"PRJEB31110","SAMEA5320049",66426848,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170355","SAMEA5320049","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320049","T1F12","food metagenome","Illumina MiSeq","ERP113625","T1F12","ERR3141389",146380,146413,137732,109452,459
"ERR3141390","AMPLICON",502,127532598,"PRJEB31110","SAMEA5320050",79143820,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170356","SAMEA5320050","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320050","T1F13","food metagenome","Illumina MiSeq","ERP113625","T1F13","ERR3141390",154699,155175,142389,52547,626
"ERR3141391","AMPLICON",502,68124412,"PRJEB31110","SAMEA5320051",40072504,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170357","SAMEA5320051","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320051","T1F14","food metagenome","Illumina MiSeq","ERP113625","T1F14","ERR3141391",89399,89588,81453,63605,415
"ERR3141392","AMPLICON",502,98237384,"PRJEB31110","SAMEA5320052",59452636,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170358","SAMEA5320052","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320052","T1F15","food metagenome","Illumina MiSeq","ERP113625","T1F15","ERR3141392",128138,128320,119689,92251,502
"ERR3141393","AMPLICON",502,118307846,"PRJEB31110","SAMEA5320053",70260058,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170359","SAMEA5320053","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320053","T1F16","food metagenome","Illumina MiSeq","ERP113625","T1F16","ERR3141393",147316,148093,126303,82302,957
"ERR3141394","AMPLICON",502,242619612,"PRJEB31110","SAMEA5320054",150105879,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170360","SAMEA5320054","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320054","T1F17","food metagenome","Illumina MiSeq","ERP113625","T1F17","ERR3141394",295793,297133,263087,127948,1834
"ERR3141395","AMPLICON",502,112240674,"PRJEB31110","SAMEA5320055",66735336,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170361","SAMEA5320055","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:37:00,1,"SAMEA5320055","T1F18","food metagenome","Illumina MiSeq","ERP113625","T1F18","ERR3141395",138805,139409,118753,71134,1218
"ERR3141396","AMPLICON",502,164379398,"PRJEB31110","SAMEA5320056",100852193,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170362","SAMEA5320056","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320056","T1F19","food metagenome","Illumina MiSeq","ERP113625","T1F19","ERR3141396",207697,208474,184196,102673,1197
"ERR3141397","AMPLICON",502,42412474,"PRJEB31110","SAMEA5320057",25596628,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170363","SAMEA5320057","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320057","T1F2","food metagenome","Illumina MiSeq","ERP113625","T1F2","ERR3141397",49206,49135,45609,37769,232
"ERR3141398","AMPLICON",502,121306292,"PRJEB31110","SAMEA5320058",72384906,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170364","SAMEA5320058","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320058","T1F20","food metagenome","Illumina MiSeq","ERP113625","T1F20","ERR3141398",149944,150198,132337,75616,930
