Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,miscellaneous_environmental_package,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id
ERR3141389,AMPLICON,502,112309448,PRJEB31110,SAMEA5320049,66426848,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170355,SAMEA5320049,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:37:00Z,1,SAMEA5320049,T1F12,food metagenome,Illumina MiSeq,ERP113625,T1F12
ERR3141394,AMPLICON,502,242619612,PRJEB31110,SAMEA5320054,150105879,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170360,SAMEA5320054,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:37:00Z,1,SAMEA5320054,T1F17,food metagenome,Illumina MiSeq,ERP113625,T1F17
ERR3141402,AMPLICON,502,60541200,PRJEB31110,SAMEA5320062,37208498,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170368,SAMEA5320062,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:38:00Z,1,SAMEA5320062,T1F24,food metagenome,Illumina MiSeq,ERP113625,T1F24
ERR3141408,AMPLICON,502,65790614,PRJEB31110,SAMEA5320068,39482659,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170374,SAMEA5320068,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:38:00Z,1,SAMEA5320068,T1F3,food metagenome,Illumina MiSeq,ERP113625,T1F3
ERR3141411,AMPLICON,502,112823496,PRJEB31110,SAMEA5320071,66518299,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170377,SAMEA5320071,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:39:00Z,1,SAMEA5320071,T1F32,food metagenome,Illumina MiSeq,ERP113625,T1F32
ERR3141412,AMPLICON,502,95800174,PRJEB31110,SAMEA5320072,60529358,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170378,SAMEA5320072,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:39:00Z,1,SAMEA5320072,T1F33,food metagenome,Illumina MiSeq,ERP113625,T1F33
ERR3141417,AMPLICON,502,78177464,PRJEB31110,SAMEA5320077,46451400,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170383,SAMEA5320077,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:39:00Z,1,SAMEA5320077,T1F38,food metagenome,Illumina MiSeq,ERP113625,T1F38
ERR3141420,AMPLICON,502,95012536,PRJEB31110,SAMEA5320080,59379676,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170386,SAMEA5320080,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:39:00Z,1,SAMEA5320080,T1F40,food metagenome,Illumina MiSeq,ERP113625,T1F40
ERR3141428,AMPLICON,502,82381212,PRJEB31110,SAMEA5320088,48453726,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:37Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170394,SAMEA5320088,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:37Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:40:00Z,1,SAMEA5320088,T1F48,food metagenome,Illumina MiSeq,ERP113625,T1F48
ERR3141433,AMPLICON,502,53472036,PRJEB31110,SAMEA5320093,32845168,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170399,SAMEA5320093,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:40:00Z,1,SAMEA5320093,T1F52,food metagenome,Illumina MiSeq,ERP113625,T1F52
